frame,timestamp_wall,timestamp,duplicated,late
0,1781708888.226992846,0.000000000,0,0.000224
1,1781708888.326992750,0.100000000,0,0.000056
2,1781708888.426992893,0.200000000,0,0.000056
3,1781708888.526992798,0.300000000,0,0.000056
4,1781708888.626992941,0.400000000,0,0.000055
5,1781708888.726992846,0.500000000,0,0.000055
6,1781708888.826992750,0.600000000,0,0.000056
7,1781708888.926992893,0.700000000,0,0.000056
8,1781708889.026992798,0.800000000,0,0.000056
9,1781708889.126992941,0.900000000,0,0.000056
10,1781708889.226992846,1.000000000,0,0.000056
11,1781708889.326992750,1.100000000,0,0.000055
12,1781708889.426992893,1.200000000,0,0.000056
13,1781708889.526992798,1.300000000,0,0.000056
14,1781708889.626992941,1.400000000,0,0.000055
15,1781708889.726992846,1.500000000,0,0.000056
16,1781708889.826992750,1.600000000,0,0.000055
17,1781708889.926992893,1.700000000,0,0.000056
18,1781708890.026992798,1.800000000,0,0.000055
19,1781708890.126992941,1.900000000,0,0.000055
20,1781708890.226992846,2.000000000,0,0.000056
21,1781708890.326992750,2.100000000,0,0.000055
22,1781708890.426992893,2.200000000,0,0.000055
23,1781708890.526992798,2.300000000,0,0.000055
24,1781708890.626992941,2.400000000,0,0.000056
25,1781708890.726992846,2.500000000,0,0.000056
26,1781708890.826992750,2.600000000,0,0.000055
27,1781708890.926992893,2.700000000,0,0.000055
28,1781708891.026992798,2.800000000,0,0.000055
29,1781708891.126992941,2.900000000,0,0.000055
30,1781708891.226992846,3.000000000,0,0.000055
31,1781708891.326992750,3.100000000,0,0.000055
32,1781708891.426992893,3.200000000,0,0.000055
33,1781708891.526992798,3.300000000,0,0.000056
34,1781708891.626992941,3.400000000,0,0.000055
35,1781708891.726992846,3.500000000,0,0.000055
36,1781708891.826992750,3.600000000,0,0.000055
37,1781708891.926992893,3.700000000,0,0.000056
38,1781708892.026992798,3.800000000,0,0.000055
39,1781708892.126992941,3.900000000,0,0.000055
40,1781708892.226992846,4.000000000,0,0.000055
41,1781708892.326992750,4.100000000,0,0.000055
42,1781708892.426992893,4.200000000,0,0.000056
43,1781708892.526992798,4.300000000,0,0.000056
44,1781708892.626992941,4.400000000,0,0.000055
45,1781708892.726992846,4.500000000,0,0.000056
46,1781708892.826992750,4.600000000,0,0.000056
47,1781708892.926992893,4.700000000,0,0.000055
48,1781708893.026992798,4.800000000,0,0.000055
49,1781708893.126992941,4.900000000,0,0.000056
50,1781708893.226992846,5.000000000,0,0.000055
51,1781708893.326992750,5.100000000,0,0.000056
52,1781708893.426992893,5.200000000,0,0.000056
53,1781708893.526992798,5.300000000,0,0.000055
54,1781708893.626992941,5.400000000,0,0.000055
55,1781708893.726992846,5.500000000,0,0.000055
56,1781708893.826992750,5.600000000,0,0.000055
57,1781708893.926992893,5.700000000,0,0.000055
58,1781708894.026992798,5.800000000,0,0.000056
59,1781708894.126992941,5.900000000,0,0.000055
60,1781708894.226992846,6.000000000,0,0.000056
61,1781708894.326992750,6.100000000,0,0.000055
62,1781708894.426992893,6.200000000,0,0.000056
63,1781708894.526992798,6.300000000,0,0.000055
64,1781708894.626992941,6.400000000,0,0.000056
65,1781708894.726992846,6.500000000,0,0.000055
66,1781708894.826992750,6.600000000,0,0.000056
67,1781708894.926992893,6.700000000,0,0.000056
68,1781708895.026992798,6.800000000,0,0.000056
69,1781708895.126992941,6.900000000,0,0.000056
70,1781708895.226992846,7.000000000,0,0.000056
71,1781708895.326992750,7.100000000,0,0.000056
72,1781708895.426992893,7.200000000,0,0.000056
73,1781708895.526992798,7.300000000,0,0.000055
74,1781708895.626992941,7.400000000,0,0.000055
75,1781708895.726992846,7.500000000,0,0.000056
76,1781708895.826992750,7.600000000,0,0.000056
77,1781708895.926992893,7.700000000,0,0.000055
78,1781708896.026992798,7.800000000,0,0.000055
79,1781708896.126992941,7.900000000,0,0.000055
80,1781708896.226992846,8.000000000,0,0.000056
81,1781708896.326992750,8.100000000,0,0.000056
82,1781708896.426992893,8.200000000,0,0.000056
83,1781708896.526992798,8.300000000,0,0.000056
84,1781708896.626992941,8.400000000,0,0.000056
85,1781708896.726992846,8.500000000,0,0.000055
86,1781708896.826992750,8.600000000,0,0.000055
87,1781708896.926992893,8.700000000,0,0.000055
88,1781708897.026992798,8.800000000,0,0.000056
89,1781708897.126992941,8.900000000,0,0.000056
90,1781708897.226992846,9.000000000,0,0.000055
91,1781708897.326992750,9.100000000,0,0.000055
92,1781708897.426992893,9.200000000,0,0.000055
93,1781708897.526992798,9.300000000,0,0.000056
94,1781708897.626992941,9.400000000,0,0.000055
95,1781708897.726992846,9.500000000,0,0.000056
96,1781708897.826992750,9.600000000,0,0.000056
97,1781708897.926992893,9.700000000,0,0.000056
98,1781708898.026992798,9.800000000,0,0.000055
99,1781708898.126992941,9.900000000,0,0.000056
