frame,timestamp_wall,timestamp,duplicated,late
0,1781700664.848485947,0.000000000,0,0.000319
1,1781700664.948485851,0.100000000,0,0.000057
2,1781700665.048485994,0.200000000,0,0.000055
3,1781700665.148485899,0.300000000,0,0.000056
4,1781700665.248486042,0.400000000,0,0.000056
5,1781700665.348485947,0.500000000,0,0.000056
6,1781700665.448485851,0.600000000,0,0.000056
7,1781700665.548485994,0.700000000,0,0.000055
8,1781700665.648485899,0.800000000,0,0.000056
9,1781700665.748486042,0.900000000,0,0.000056
10,1781700665.848485947,1.000000000,0,0.000056
11,1781700665.948485851,1.100000000,0,0.000056
12,1781700666.048485994,1.200000000,0,0.000056
13,1781700666.148485899,1.300000000,0,0.000056
14,1781700666.248486042,1.400000000,0,0.000056
15,1781700666.348485947,1.500000000,0,0.000056
16,1781700666.448485851,1.600000000,0,0.000056
17,1781700666.548485994,1.700000000,0,0.000055
18,1781700666.648485899,1.800000000,0,0.000055
19,1781700666.748486042,1.900000000,0,0.000056
20,1781700666.848485947,2.000000000,0,0.000055
21,1781700666.948485851,2.100000000,0,0.000056
22,1781700667.048485994,2.200000000,0,0.000056
23,1781700667.148485899,2.300000000,0,0.000056
24,1781700667.248486042,2.400000000,0,0.000055
25,1781700667.348485947,2.500000000,0,0.000056
26,1781700667.448485851,2.600000000,0,0.000057
27,1781700667.548485994,2.700000000,0,0.000056
28,1781700667.648485899,2.800000000,0,0.000056
29,1781700667.748486042,2.900000000,0,0.000056
30,1781700667.848485947,3.000000000,0,0.000056
31,1781700667.948485851,3.100000000,0,0.000056
32,1781700668.048485994,3.200000000,0,0.000056
33,1781700668.148485899,3.300000000,0,0.000056
34,1781700668.248486042,3.400000000,0,0.000056
35,1781700668.348485947,3.500000000,0,0.000056
36,1781700668.448485851,3.600000000,0,0.000056
37,1781700668.548485994,3.700000000,0,0.000056
38,1781700668.648485899,3.800000000,0,0.000056
39,1781700668.748486042,3.900000000,0,0.000056
40,1781700668.848485947,4.000000000,0,0.000055
41,1781700668.948485851,4.100000000,0,0.000055
42,1781700669.048485994,4.200000000,0,0.000055
43,1781700669.148485899,4.300000000,0,0.000056
44,1781700669.248486042,4.400000000,0,0.000056
45,1781700669.348485947,4.500000000,0,0.000056
46,1781700669.448485851,4.600000000,0,0.000056
47,1781700669.548485994,4.700000000,0,0.000056
48,1781700669.648485899,4.800000000,0,0.000056
49,1781700669.748486042,4.900000000,0,0.000056
50,1781700669.848485947,5.000000000,0,0.000056
51,1781700669.948485851,5.100000000,0,0.000056
52,1781700670.048485994,5.200000000,0,0.000055
53,1781700670.148485899,5.300000000,0,0.000056
54,1781700670.248486042,5.400000000,0,0.000056
55,1781700670.348485947,5.500000000,0,0.000056
56,1781700670.448485851,5.600000000,0,0.000055
57,1781700670.548485994,5.700000000,0,0.000056
58,1781700670.648485899,5.800000000,0,0.000056
59,1781700670.748486042,5.900000000,0,0.000056
60,1781700670.848485947,6.000000000,0,0.000056
61,1781700670.948485851,6.100000000,0,0.000056
62,1781700671.048485994,6.200000000,0,0.000056
63,1781700671.148485899,6.300000000,0,0.000056
64,1781700671.248486042,6.400000000,0,0.000056
65,1781700671.348485947,6.500000000,0,0.000056
66,1781700671.448485851,6.600000000,0,0.000056
67,1781700671.548485994,6.700000000,0,0.000056
68,1781700671.648485899,6.800000000,0,0.000056
69,1781700671.748486042,6.900000000,0,0.000056
70,1781700671.848485947,7.000000000,0,0.000056
71,1781700671.948485851,7.100000000,0,0.000056
72,1781700672.048485994,7.200000000,0,0.000056
73,1781700672.148485899,7.300000000,0,0.000056
74,1781700672.248486042,7.400000000,0,0.000056
75,1781700672.348485947,7.500000000,0,0.000056
76,1781700672.448485851,7.600000000,0,0.000056
77,1781700672.548485994,7.700000000,0,0.000056
78,1781700672.648485899,7.800000000,0,0.000055
79,1781700672.748486042,7.900000000,0,0.000056
80,1781700672.848485947,8.000000000,0,0.000056
81,1781700672.948485851,8.100000000,0,0.000056
82,1781700673.048485994,8.200000000,0,0.000056
83,1781700673.148485899,8.300000000,0,0.000056
84,1781700673.248486042,8.400000000,0,0.000056
85,1781700673.348485947,8.500000000,0,0.000056
86,1781700673.448485851,8.600000000,0,0.000056
87,1781700673.548485994,8.700000000,0,0.000056
88,1781700673.648485899,8.800000000,0,0.000056
89,1781700673.748486042,8.900000000,0,0.000056
90,1781700673.848485947,9.000000000,0,0.000056
91,1781700673.948485851,9.100000000,0,0.000056
92,1781700674.048485994,9.200000000,0,0.000056
93,1781700674.148485899,9.300000000,0,0.000058
94,1781700674.248486042,9.400000000,0,0.000056
95,1781700674.348485947,9.500000000,0,0.000056
96,1781700674.448485851,9.600000000,0,0.000055
97,1781700674.548485994,9.700000000,0,0.000056
98,1781700674.648485899,9.800000000,0,0.000056
99,1781700674.748486042,9.900000000,0,0.000056
