frame,timestamp_wall,timestamp,duplicated,late
0,1781709105.107355833,0.000000000,0,0.000238
1,1781709105.207355738,0.100000000,0,0.000056
2,1781709105.307355881,0.200000000,0,0.000055
3,1781709105.407355785,0.300000000,0,0.000060
4,1781709105.507355928,0.400000000,0,0.000055
5,1781709105.607355833,0.500000000,0,0.000054
6,1781709105.707355738,0.600000000,0,0.000055
7,1781709105.807355881,0.700000000,0,0.000055
8,1781709105.907355785,0.800000000,0,0.000055
9,1781709106.007355928,0.900000000,0,0.000055
10,1781709106.107355833,1.000000000,0,0.000055
11,1781709106.207355738,1.100000000,0,0.000055
12,1781709106.307355881,1.200000000,0,0.000055
13,1781709106.407355785,1.300000000,0,0.000055
14,1781709106.507355928,1.400000000,0,0.000055
15,1781709106.607355833,1.500000000,0,0.000056
16,1781709106.707355738,1.600000000,0,0.000056
17,1781709106.807355881,1.700000000,0,0.000055
18,1781709106.907355785,1.800000000,0,0.000055
19,1781709107.007355928,1.900000000,0,0.000055
20,1781709107.107355833,2.000000000,0,0.000055
21,1781709107.207355738,2.100000000,0,0.000055
22,1781709107.307355881,2.200000000,0,0.000056
23,1781709107.407355785,2.300000000,0,0.000056
24,1781709107.507355928,2.400000000,0,0.000055
25,1781709107.607355833,2.500000000,0,0.000055
26,1781709107.707355738,2.600000000,0,0.000055
27,1781709107.807355881,2.700000000,0,0.000056
28,1781709107.907355785,2.800000000,0,0.000056
29,1781709108.007355928,2.900000000,0,0.000055
30,1781709108.107355833,3.000000000,0,0.000055
31,1781709108.207355738,3.100000000,0,0.000056
32,1781709108.307355881,3.200000000,0,0.000056
33,1781709108.407355785,3.300000000,0,0.000055
34,1781709108.507355928,3.400000000,0,0.000055
35,1781709108.607355833,3.500000000,0,0.000055
36,1781709108.707355738,3.600000000,0,0.000055
37,1781709108.807355881,3.700000000,0,0.000055
38,1781709108.907355785,3.800000000,0,0.000056
39,1781709109.007355928,3.900000000,0,0.000056
40,1781709109.107355833,4.000000000,0,0.000055
41,1781709109.207355738,4.100000000,0,0.000055
42,1781709109.307355881,4.200000000,0,0.000055
43,1781709109.407355785,4.300000000,0,0.000055
44,1781709109.507355928,4.400000000,0,0.000055
45,1781709109.607355833,4.500000000,0,0.000055
46,1781709109.707355738,4.600000000,0,0.000056
47,1781709109.807355881,4.700000000,0,0.000055
48,1781709109.907355785,4.800000000,0,0.000056
49,1781709110.007355928,4.900000000,0,0.000055
50,1781709110.107355833,5.000000000,0,0.000055
51,1781709110.207355738,5.100000000,0,0.000056
52,1781709110.307355881,5.200000000,0,0.000055
53,1781709110.407355785,5.300000000,0,0.000055
54,1781709110.507355928,5.400000000,0,0.000056
55,1781709110.607355833,5.500000000,0,0.000056
56,1781709110.707355738,5.600000000,0,0.000056
57,1781709110.807355881,5.700000000,0,0.000056
58,1781709110.907355785,5.800000000,0,0.000056
59,1781709111.007355928,5.900000000,0,0.000058
60,1781709111.107355833,6.000000000,0,0.000058
61,1781709111.207355738,6.100000000,0,0.000056
62,1781709111.307355881,6.200000000,0,0.000057
63,1781709111.407355785,6.300000000,0,0.000055
64,1781709111.507355928,6.400000000,0,0.000055
65,1781709111.607355833,6.500000000,0,0.000055
66,1781709111.707355738,6.600000000,0,0.000055
67,1781709111.807355881,6.700000000,0,0.000055
68,1781709111.907355785,6.800000000,0,0.000055
69,1781709112.007355928,6.900000000,0,0.000055
70,1781709112.107355833,7.000000000,0,0.000055
71,1781709112.207355738,7.100000000,0,0.000055
72,1781709112.307355881,7.200000000,0,0.000055
73,1781709112.407355785,7.300000000,0,0.000055
74,1781709112.507355928,7.400000000,0,0.000055
75,1781709112.607355833,7.500000000,0,0.000055
76,1781709112.707355738,7.600000000,0,0.000055
77,1781709112.807355881,7.700000000,0,0.000055
78,1781709112.907355785,7.800000000,0,0.000055
79,1781709113.007355928,7.900000000,0,0.000056
80,1781709113.107355833,8.000000000,0,0.000056
81,1781709113.207355738,8.100000000,0,0.000056
82,1781709113.307355881,8.200000000,0,0.000056
83,1781709113.407355785,8.300000000,0,0.000056
84,1781709113.507355928,8.400000000,0,0.000055
85,1781709113.607355833,8.500000000,0,0.000055
86,1781709113.707355738,8.600000000,0,0.000055
87,1781709113.807355881,8.700000000,0,0.000056
88,1781709113.907355785,8.800000000,0,0.000056
89,1781709114.007355928,8.900000000,0,0.000056
90,1781709114.107355833,9.000000000,0,0.000056
91,1781709114.207355738,9.100000000,0,0.000056
92,1781709114.307355881,9.200000000,0,0.000056
93,1781709114.407355785,9.300000000,0,0.000056
94,1781709114.507355928,9.400000000,0,0.000056
95,1781709114.607355833,9.500000000,0,0.000056
96,1781709114.707355738,9.600000000,0,0.000056
97,1781709114.807355881,9.700000000,0,0.000055
98,1781709114.907355785,9.800000000,0,0.000055
99,1781709115.007355928,9.900000000,0,0.000056
