# timestamp tx ty tz qx qy qz qw
0.100000000 -78.8411402675 -69.0504574496 -50.9771956182 -0.1243272646 0.0539300091 -0.0034072858 0.9907687297
0.200000000 -86.2183773332 -65.9220126744 -49.5555689717 -0.1201101831 0.0654318505 -0.0135917511 0.9905086982
0.300000000 -93.2245283168 -65.9246568450 -46.8048242871 -0.1208083662 0.0770025014 -0.0187949390 0.9895062929
0.400000000 -112.0945458617 -99.2290219380 -26.3313603062 -0.1835802740 0.1120257135 -0.0660723673 0.9743628507
0.500000000 -112.1576342038 -100.3409715776 -26.0729208972 -0.1851164685 0.1125700763 -0.0635724247 0.9741757633
0.600000000 -111.6048650645 -99.9388315446 -26.3787667690 -0.1838089672 0.1118085066 -0.0621098124 0.9746053009
0.700000000 -112.0671125707 -100.4211820867 -25.8962609879 -0.1849539210 0.1127918869 -0.0620176638 0.9742811949
0.800000000 -111.4352177644 -102.1448669448 -25.5321768782 -0.1876537065 0.1115173475 -0.0612488011 0.9739602415
1.000000000 -112.1132250308 -103.1913028630 -25.9469414741 -0.1899766480 0.1083874740 -0.0607222257 0.9738962162
1.100000000 -115.6360154636 -103.4868272549 -25.8842778939 -0.1910499131 0.1107694177 -0.0598075630 0.9734747671
1.300000000 207.3343170199 -31.2392460862 45.3154049102 -0.3558049511 0.0493173175 0.9331078387 0.0167451577
1.600000000 -132.8213920875 -103.6419247617 -25.5322540047 -0.1926444266 0.1230952731 -0.0616188140 0.9715651293
1.700000000 179.0859302317 -90.7291640878 53.1551378506 -0.3068972129 0.1692265446 0.9365693797 0.0037781255
1.800000000 -137.3939431758 -107.9770341643 -25.3840178764 -0.2010628739 0.1245439299 -0.0679759411 0.9692480599
2.800000000 31.2799792100 -118.2276816311 -34.5813969068 -0.0622404539 0.1954268144 0.9778720971 0.0412389103
3.400000000 219.1660117340 26.0191050490 127.7625289754 -0.5095913958 -0.0960232959 0.8546131878 0.0270635405
4.000000000 200.3471902165 -67.2721366448 64.8313221754 -0.0901023689 -0.5482694560 -0.0056015999 0.8314149318
4.600000000 74.5662131838 -136.5579444740 -45.6819774833 -0.1749337561 0.2048669695 0.9625592778 0.0301221274
4.800000000 9.6473933079 101.4169637299 -60.7318736263 0.1863760910 -0.2232777655 0.0464741920 0.9556417433
5.100000000 60.7168140412 -122.0176852357 -57.4503871709 -0.1578644026 0.1802754096 0.9704914877 0.0269421487
5.200000000 66.3558933351 -138.7096114921 -50.0513404653 -0.1706528735 0.2030067002 0.9634285702 0.0383570921
5.300000000 63.7892801701 -146.1777537749 -40.9193407107 -0.1737046715 0.2170970046 0.9593748141 0.0479118329
5.400000000 57.3599847781 -124.7303758728 -53.8283528845 -0.1571460300 0.1834729109 0.9697225106 0.0357920182
5.500000000 -230.7567853055 -91.8139656710 -26.5254896517 -0.1712161348 0.1900973437 -0.0828847635 0.9631605012
5.600000000 -240.9585557746 -50.2145593456 -61.1780661736 0.3253140455 0.0892879671 0.9341506310 0.1164518326
5.700000000 -225.6506808696 -92.6454056699 -29.0049152476 -0.1700508445 0.1808893116 -0.0789619283 0.9654671310
5.800000000 -225.4450583882 -94.1513157852 -29.1048638818 -0.1721717141 0.1802870801 -0.0774438656 0.9653268448
5.900000000 -225.4947715989 -94.7790968289 -28.8834880332 -0.1731061607 0.1804957758 -0.0768258319 0.9651701009
6.000000000 37.6546563589 -131.8053449975 -71.2126695478 -0.1177051492 0.1888800409 0.9743013416 0.0347379311
6.100000000 -227.1736209135 -95.2351685572 -27.4734265495 -0.1757654644 0.1834929241 -0.0812751179 0.9637588928
6.200000000 -221.9209239447 -94.1373152140 -30.6400895450 -0.1716200742 0.1744620393 -0.0793157283 0.9663428803
6.300000000 -218.1028091601 -97.9661799698 -31.6559346018 -0.1767608354 0.1675817366 -0.0764247925 0.9668667021
6.400000000 -216.8479934427 -96.6903762241 -32.1400138539 -0.1731191230 0.1658329629 -0.0730769829 0.9680851989
6.500000000 -214.3146615639 -97.2188484345 -33.3132042466 -0.1729738147 0.1616954453 -0.0708380650 0.9689770951
6.600000000 -214.5308282506 -95.9985331491 -33.1436191598 -0.1713434857 0.1628280556 -0.0722562333 0.9689723789
6.700000000 -210.4714202323 -96.3195274969 -35.5608622174 -0.1686283036 0.1561834319 -0.0661590853 0.9709759040
6.800000000 -210.0777682769 -98.5525433319 -34.9499760671 -0.1707116249 0.1562281477 -0.0587593412 0.9710806593
